policy,model,var,coef,pval,t,nobs
IRA,baseline,ExpoQuick_it,-0.21923270706083692,0.0005671022563622946,-3.446879121838328,3038
IRA,mechanism,subsidy_expo_it,-16.816445831236134,0.377834034832634,-0.8818941797034404,3038
IRA,mechanism,compliance_expo_it,0.5248232628194522,0.884460921872288,0.14531658361427818,3038
IRA,mechanism,credit_market_expo_it,402.36845391927534,0.44473800999287494,0.764216878249746,3038
IRA,mechanism,demand_pull_expo_it,-1.8592544063624838,0.16474653640622927,-1.3892835751668584,3038
LCFS,baseline,ExpoQuick_it,-0.1761214023760992,0.14412474974981362,-1.460601808318296,3006
LCFS,mechanism,subsidy_expo_it,-23.896259397167697,0.8694637946966193,-0.16433961837788053,3006
LCFS,mechanism,compliance_expo_it,0.20089524522475954,0.8444871661201963,0.19615714958289776,3006
LCFS,mechanism,credit_market_expo_it,-0.1701681253875508,0.9498335467101852,-0.0629158081375699,3006
LCFS,mechanism,demand_pull_expo_it,-3.1760188770098945,0.1183388498712276,-1.5617841375436536,3006
RFS2,baseline,ExpoQuick_it,-0.05195422025186032,0.9115586288716784,-0.11107278592293685,2975
RFS2,mechanism,subsidy_expo_it,1487.5855249126178,0.13033145634073148,1.512796113552631,2975
RFS2,mechanism,compliance_expo_it,-19.022317468410602,0.12632797258618475,-1.52874378748609,2975
RFS2,mechanism,credit_market_expo_it,0.41828740773141254,0.8536315422565278,0.1844868500354953,2975
RFS2,mechanism,demand_pull_expo_it,9.620283464064098,0.2148404436244895,1.2403649374083652,2975
