policy,event_date,n_obs_panel,n_tickers_panel,logP_nonnull_share,bm_source_nonnull_share,debt_assets_source_nonnull_share,curr_ratio_source_nonnull_share,roa_source_nonnull_share
IRA,2022-08-16,3039,35,0.9996709443896018,0.5653175386640342,0.5955906548206646,0.5955906548206646,0.5955906548206646
LCFS,2023-01-03,3010,35,0.9993355481727575,0.5744186046511628,0.6046511627906976,0.6046511627906976,0.6046511627906976
RFS2,2021-01-04,2975,35,1.0,0.5142857142857142,0.5445378151260504,0.5445378151260504,0.5445378151260504
