policy,model,var,coef,pval,t,nobs
IRA,baseline,ExpoQuick_it,-0.203467890507442,0.002762091494403335,-2.993044856833605,3038
IRA,mechanism,subsidy_expo_it,-17.304347451470928,0.33343733939320286,-0.9672134508337022,3038
IRA,mechanism,compliance_expo_it,0.5188599356851247,0.8824347598626876,0.14788343696261516,3038
IRA,mechanism,credit_market_expo_it,342.4978736391143,0.5288609127723677,0.6297457987479813,3038
IRA,mechanism,demand_pull_expo_it,-1.764354203053044,0.1827086783809323,-1.3324612144242727,3038
LCFS,baseline,ExpoQuick_it,-0.17489250300518577,0.1367928974007051,-1.487840745395652,3006
LCFS,mechanism,subsidy_expo_it,-25.632777600495174,0.8585431925031966,-0.17822892756017328,3006
LCFS,mechanism,compliance_expo_it,0.31372939873557676,0.7550016491530525,0.3120511520017163,3006
LCFS,mechanism,credit_market_expo_it,0.027553655458587595,0.9917644790250117,0.010321878147341838,3006
LCFS,mechanism,demand_pull_expo_it,-3.226618667000925,0.10860134321351621,-1.604511538240493,3006
RFS2,baseline,ExpoQuick_it,-0.04187742239968953,0.9264145969689483,-0.09235675508237787,2975
RFS2,mechanism,subsidy_expo_it,1297.2139650560166,0.20570683307731008,1.26545901050997,2975
RFS2,mechanism,compliance_expo_it,-18.922361808073298,0.12163683722203401,-1.5479396084644341,2975
RFS2,mechanism,credit_market_expo_it,0.6381073586528249,0.7729983789398797,0.28845512156941155,2975
RFS2,mechanism,demand_pull_expo_it,9.305218203848,0.21028460525078796,1.252783233019387,2975
