var,vif
const,47.12272043125271
logP,1.5739427374928932
vol60,2557.221562978801
mom20,1.0236761129446879
beta60,1.0986159850422346
ivol60,2566.1088499149223
bm,1.4021347885389916
debt_assets,1.494367450949484
curr_ratio,1.5089102595403008
roa,1.3768784292467589
