policy,model,var,coef,pval,t,nobs
IRA,baseline,ExpoQuick_it,-0.216463917540118,0.0007066393630133013,-3.386990105360631,3038
IRA,mechanism,subsidy_expo_it,-12.989382292451896,0.44336395954579955,-0.7665250383299914,3038
IRA,mechanism,compliance_expo_it,0.3502857943924238,0.9192505894898829,0.10137776121620667,3038
IRA,mechanism,credit_market_expo_it,390.1643935670684,0.4756630311540534,0.7132953227463928,3038
IRA,mechanism,demand_pull_expo_it,-1.7593278882142607,0.1659356972880469,-1.3853819826675868,3038
LCFS,baseline,ExpoQuick_it,-0.17172905083616327,0.16785204131701736,-1.3791385457933203,3006
LCFS,mechanism,subsidy_expo_it,-7.669848406170775,0.9603914871697448,-0.04966231561039188,3006
LCFS,mechanism,compliance_expo_it,0.14881298244126795,0.8876516167636733,0.14127636951160713,3006
LCFS,mechanism,credit_market_expo_it,0.3326148389182454,0.9011359066516406,0.12422654311142893,3006
LCFS,mechanism,demand_pull_expo_it,-3.0444893698821724,0.14448830922433586,-1.459279086038988,3006
RFS2,baseline,ExpoQuick_it,-0.0794459097830828,0.8758300117879838,-0.15625755464220678,2975
RFS2,mechanism,subsidy_expo_it,1835.6419866424312,0.10332470089451866,1.628944819405831,2975
RFS2,mechanism,compliance_expo_it,-19.575259759556147,0.137790720926999,-1.48406860554709,2975
RFS2,mechanism,credit_market_expo_it,-0.25599857794133696,0.9245906079953858,-0.09465280217422857,2975
RFS2,mechanism,demand_pull_expo_it,10.32112099935745,0.24304063530843478,1.1674204035411795,2975
