control,pre_imputation_non_missing_rows,pre_imputation_coverage_share
logP,172326,0.9998143399203983
vol60,170978,0.9919934090671741
mom20,172322,0.999791132410448
beta60,170978,0.9919934090671741
ivol60,170978,0.9919934090671741
bm,64482,0.37411666415251976
debt_assets,67214,0.38996739344851994
curr_ratio,67214,0.38996739344851994
roa,67214,0.38996739344851994
