policy,model,var,coef,pval,t,nobs,coef_v5,pval_v5,t_v5,coef_diff_v6_minus_v5,pval_diff_v6_minus_v5
IRA,baseline,ExpoQuick_it,-0.203467890507442,0.002762091494403335,-2.993044856833605,3038,-0.216463917540118,0.0007066393630133,-3.386990105360631,0.012996027032676022,0.0020554521313900353
IRA,mechanism,subsidy_expo_it,-17.304347451470928,0.33343733939320286,-0.9672134508337022,3038,-12.989382292451896,0.4433639595457995,-0.7665250383299914,-4.314965159019032,-0.10992662015259663
IRA,mechanism,compliance_expo_it,0.5188599356851247,0.8824347598626876,0.14788343696261516,3038,0.3502857943924238,0.9192505894898828,0.1013777612162066,0.16857414129270087,-0.03681582962719521
IRA,mechanism,credit_market_expo_it,342.4978736391143,0.5288609127723677,0.6297457987479813,3038,390.1643935670684,0.4756630311540534,0.7132953227463928,-47.666519927954084,0.05319788161831429
IRA,mechanism,demand_pull_expo_it,-1.764354203053044,0.1827086783809323,-1.3324612144242727,3038,-1.759327888214261,0.1659356972880469,-1.3853819826675868,-0.005026314838783019,0.016772981092885386
LCFS,baseline,ExpoQuick_it,-0.17489250300518577,0.1367928974007051,-1.487840745395652,3006,-0.1717290508361632,0.1678520413170173,-1.3791385457933203,-0.0031634521690225847,-0.031059143916312204
LCFS,mechanism,subsidy_expo_it,-25.632777600495174,0.8585431925031966,-0.17822892756017328,3006,-7.669848406170775,0.9603914871697448,-0.0496623156103918,-17.9629291943244,-0.10184829466654821
LCFS,mechanism,compliance_expo_it,0.31372939873557676,0.7550016491530525,0.3120511520017163,3006,0.1488129824412679,0.8876516167636733,0.1412763695116071,0.16491641629430887,-0.13264996761062087
LCFS,mechanism,credit_market_expo_it,0.027553655458587595,0.9917644790250117,0.010321878147341838,3006,0.3326148389182454,0.9011359066516406,0.1242265431114289,-0.3050611834596578,0.09062857237337119
LCFS,mechanism,demand_pull_expo_it,-3.226618667000925,0.10860134321351621,-1.604511538240493,3006,-3.0444893698821724,0.1444883092243358,-1.459279086038988,-0.18212929711875248,-0.0358869660108196
RFS2,baseline,ExpoQuick_it,-0.04187742239968953,0.9264145969689483,-0.09235675508237787,2975,-0.0794459097830828,0.8758300117879838,-0.1562575546422067,0.03756848738339327,0.050584585180964536
RFS2,mechanism,subsidy_expo_it,1297.2139650560166,0.20570683307731008,1.26545901050997,2975,1835.6419866424312,0.1033247008945186,1.628944819405831,-538.4280215864146,0.10238213218279148
RFS2,mechanism,compliance_expo_it,-18.922361808073298,0.12163683722203401,-1.5479396084644341,2975,-19.575259759556147,0.137790720926999,-1.48406860554709,0.6528979514828492,-0.016153883704964997
RFS2,mechanism,credit_market_expo_it,0.6381073586528249,0.7729983789398797,0.28845512156941155,2975,-0.2559985779413369,0.9245906079953858,-0.0946528021742285,0.8941059365941617,-0.15159222905550618
RFS2,mechanism,demand_pull_expo_it,9.305218203848,0.21028460525078796,1.252783233019387,2975,10.32112099935745,0.2430406353084347,1.1674204035411797,-1.0159027955094508,-0.03275603005764674
