sample_set,policy,specification,var,coef,pval,t,nobs,unique_tickers,coef_p23,pval_p23,t_p23,nobs_old,unique_tickers_old,coef_diff_p25_minus_p23,pval_diff_p25_minus_p23
main_only,IRA,baseline,ExpoQuick_it,2.5200952535314003,0.1736954700275561,1.3604250052464533,830,11,2.5200952535314003,0.1736954700275561,1.3604250052464533,830,11,0.0,0.0
main_only,IRA,joint_mechanism,compliance_expo_it,-0.5346868262993906,0.795278620757314,-0.2594622296258869,830,11,-0.5346868262993906,0.795278620757314,-0.2594622296258869,830,11,0.0,0.0
main_only,IRA,joint_mechanism,credit_market_expo_it,143.63955141343652,0.0483385646905734,1.9743798746324432,830,11,143.63955141343652,0.0483385646905734,1.9743798746324432,830,11,0.0,0.0
main_only,IRA,joint_mechanism,demand_pull_expo_it,3.322290719452341,0.1448552426819327,1.4579466721212082,830,11,3.322290719452341,0.1448552426819327,1.4579466721212082,830,11,0.0,0.0
main_only,IRA,joint_mechanism,subsidy_expo_it,1.7697027797256066,0.7653984896019442,0.2983992130699304,830,11,1.7697027797256066,0.7653984896019442,0.2983992130699304,830,11,0.0,0.0
main_only,IRA,single_mechanism,compliance_expo_it,-0.286571586229428,0.9197348253745756,-0.1007677536429906,830,11,-0.286571586229428,0.9197348253745756,-0.1007677536429906,830,11,0.0,0.0
main_only,IRA,single_mechanism,credit_market_expo_it,148.3119920269312,0.0759306601982515,1.7748015508159052,830,11,148.3119920269312,0.0759306601982515,1.7748015508159052,830,11,0.0,0.0
main_only,IRA,single_mechanism,demand_pull_expo_it,3.598832209661176,0.1821575189109933,1.3341414035448669,830,11,3.598832209661176,0.1821575189109933,1.3341414035448669,830,11,0.0,0.0
main_only,IRA,single_mechanism,subsidy_expo_it,-6.918353767362055,0.2908661580150457,-1.0562234097000345,830,11,-6.918353767362055,0.2908661580150457,-1.0562234097000345,830,11,0.0,0.0
main_plus_edge,IRA,baseline,ExpoQuick_it,-0.2192327070608369,0.0005671022563622,-3.446879121838328,3038,35,-0.2192327070608369,0.0005671022563622,-3.446879121838328,3038,35,0.0,0.0
main_plus_edge,IRA,joint_mechanism,compliance_expo_it,0.6841143516398113,0.5354462714663176,0.6197137348301431,3038,35,0.6841143516398113,0.5354462714663176,0.6197137348301431,3038,35,0.0,0.0
main_plus_edge,IRA,joint_mechanism,credit_market_expo_it,77.94381368184459,0.4031357845191896,0.8360339847517706,3038,35,77.94381368184459,0.4031357845191896,0.8360339847517706,3038,35,0.0,0.0
main_plus_edge,IRA,joint_mechanism,demand_pull_expo_it,-0.4834496922864905,0.0130395039756463,-2.482688548836986,3038,35,-0.4834496922864905,0.0130395039756463,-2.482688548836986,3038,35,0.0,0.0
main_plus_edge,IRA,joint_mechanism,subsidy_expo_it,-3.422362109574688,0.3164732191431301,-1.0017316439670174,3038,35,-3.422362109574688,0.3164732191431301,-1.0017316439670174,3038,35,0.0,0.0
main_plus_edge,IRA,single_mechanism,compliance_expo_it,-1.3538070903162156,0.1314285998741723,-1.50849220632958,3038,35,-1.3538070903162156,0.1314285998741723,-1.50849220632958,3038,35,0.0,0.0
main_plus_edge,IRA,single_mechanism,credit_market_expo_it,83.24900990450396,0.3625266949580384,0.910561061399693,3038,35,83.24900990450396,0.3625266949580384,0.910561061399693,3038,35,0.0,0.0
main_plus_edge,IRA,single_mechanism,demand_pull_expo_it,-0.3745407650726973,0.0005299773867078,-3.4651289043715137,3038,35,-0.3745407650726973,0.0005299773867078,-3.4651289043715137,3038,35,0.0,0.0
main_plus_edge,IRA,single_mechanism,subsidy_expo_it,-3.3284802792245167,0.258197360386829,-1.130662049285277,3038,35,-3.3284802792245167,0.258197360386829,-1.130662049285277,3038,35,0.0,0.0
main_only,LCFS,baseline,ExpoQuick_it,-0.5169961646605433,0.1363592471981096,-1.4894867222112698,822,11,-0.5169961646605433,0.1363592471981096,-1.4894867222112698,822,11,0.0,0.0
main_only,LCFS,joint_mechanism,compliance_expo_it,9.22343465246164,0.5786318670905903,0.5553842442818557,822,11,9.22343465246164,0.5786318670905903,0.5553842442818557,822,11,0.0,0.0
main_only,LCFS,joint_mechanism,credit_market_expo_it,-431.23718516907616,0.0067849318109357,-2.70721980490055,822,11,-431.23718516907616,0.0067849318109357,-2.70721980490055,822,11,0.0,0.0
main_only,LCFS,joint_mechanism,demand_pull_expo_it,-503.0920056521644,1.3048923313098464e-07,-5.278157576125577,822,11,-503.0920056521644,1.3048923313098464e-07,-5.278157576125577,822,11,0.0,0.0
main_only,LCFS,joint_mechanism,subsidy_expo_it,-14807.797539682775,9.03468567444232e-07,-4.911576865081878,822,11,-14807.797539682775,9.03468567444232e-07,-4.911576865081878,822,11,0.0,0.0
main_only,LCFS,single_mechanism,compliance_expo_it,-5.602430115121735,0.6924775111564595,-0.3954951352091691,822,11,-5.602430115121735,0.6924775111564595,-0.3954951352091691,822,11,0.0,0.0
main_only,LCFS,single_mechanism,credit_market_expo_it,-329.7887486982572,0.0371759590803697,-2.0838264214384465,822,11,-329.7887486982572,0.0371759590803697,-2.0838264214384465,822,11,0.0,0.0
main_only,LCFS,single_mechanism,demand_pull_expo_it,-259.3696870530628,0.0679115143319196,-1.8255935086178732,822,11,-259.3696870530628,0.0679115143319196,-1.8255935086178732,822,11,0.0,0.0
main_only,LCFS,single_mechanism,subsidy_expo_it,-421.06551684104977,0.9185537987419696,-0.1022555972705951,822,11,-421.06551684104977,0.9185537987419696,-0.1022555972705951,822,11,0.0,0.0
main_plus_edge,LCFS,baseline,ExpoQuick_it,-0.1761214023760992,0.1441247497498136,-1.460601808318296,3006,35,-0.1761214023760992,0.1441247497498136,-1.460601808318296,3006,35,0.0,0.0
main_plus_edge,LCFS,joint_mechanism,compliance_expo_it,5.66522742131718,0.79519663665701,0.2595685004515842,3006,35,5.66522742131718,0.79519663665701,0.2595685004515842,3006,35,0.0,0.0
main_plus_edge,LCFS,joint_mechanism,credit_market_expo_it,-16.256583415418746,0.8872251284002234,-0.1418162750136122,3006,35,-16.256583415418746,0.8872251284002234,-0.1418162750136122,3006,35,0.0,0.0
main_plus_edge,LCFS,joint_mechanism,demand_pull_expo_it,-70.72506938497003,0.125421175596147,-1.532410469221356,3006,35,-70.72506938497003,0.125421175596147,-1.532410469221356,3006,35,0.0,0.0
main_plus_edge,LCFS,joint_mechanism,subsidy_expo_it,2278.3400493321,0.3918738748340552,0.8562240271498345,3006,35,2278.3400493321,0.3918738748340552,0.8562240271498345,3006,35,0.0,0.0
main_plus_edge,LCFS,single_mechanism,compliance_expo_it,-10.42212526235005,0.598179600612275,-0.5270201428870289,3006,35,-10.42212526235005,0.598179600612275,-0.5270201428870289,3006,35,0.0,0.0
main_plus_edge,LCFS,single_mechanism,credit_market_expo_it,-36.87111452238323,0.7503978017016899,-0.3181148736286401,3006,35,-36.87111452238323,0.7503978017016899,-0.3181148736286401,3006,35,0.0,0.0
main_plus_edge,LCFS,single_mechanism,demand_pull_expo_it,-73.25875203798586,0.1296475335275358,-1.5154932693792509,3006,35,-73.25875203798586,0.1296475335275358,-1.5154932693792509,3006,35,0.0,0.0
main_plus_edge,LCFS,single_mechanism,subsidy_expo_it,2732.5553173737594,0.2802462471138089,1.0797663324242908,3006,35,2732.5553173737594,0.2802462471138089,1.0797663324242908,3006,35,0.0,0.0
main_only,RFS2,baseline,ExpoQuick_it,-0.0578457553163415,0.8669083090486505,-0.1675868601852994,815,11,-0.0578457553163415,0.8669083090486505,-0.1675868601852994,815,11,0.0,0.0
main_only,RFS2,joint_mechanism,compliance_expo_it,-0.137931886373721,0.5734320444574209,-0.5630041699290518,815,11,1.7252063047717677e-15,0.0704048805307143,1.8092969632454488,815,11,-0.13793188637372272,0.5030271639267067
main_only,RFS2,joint_mechanism,credit_market_expo_it,0.3337979612277477,0.2371303964158857,1.1821898064103529,815,11,1.4522693154686907e-16,0.8109930184883524,0.2391451682472641,815,11,0.3337979612277475,-0.5738626220724666
main_only,RFS2,joint_mechanism,demand_pull_expo_it,-1.867680313624736,0.3943515325148293,-0.8517523964967072,815,11,-2.0804061990492066e-15,0.5264288299355186,-0.6334668379879275,815,11,-1.867680313624734,-0.13207729742068935
main_only,RFS2,joint_mechanism,subsidy_expo_it,-6.071124506866696,0.823246123536364,-0.2233718342873626,815,11,0.0,,,815,11,-6.071124506866696,
main_only,RFS2,single_mechanism,compliance_expo_it,-0.3854731705387874,0.1145883931823476,-1.577900834876364,815,11,0.0,,,815,11,-0.3854731705387874,
