sample_set,policy,specification,var,coef,pval,t,nobs,unique_tickers,coef_p22,pval_p22,t_p22,coef_diff_p23_minus_p22,pval_diff_p23_minus_p22
main_only,IRA,baseline,ExpoQuick_it,2.5200952535314003,0.17369547002755614,1.3604250052464533,830,11,2.5200952535314003,0.1736954700275561,1.3604250052464533,0.0,5.551115123125783e-17
main_only,IRA,single_mechanism,subsidy_expo_it,-6.9183537673620545,0.2908661580150457,-1.0562234097000343,830,11,-39.02041798037899,0.3217379752892688,-0.9908927041186764,32.10206421301693,-0.030871817274223112
main_only,IRA,single_mechanism,compliance_expo_it,-0.286571586229428,0.9197348253745756,-0.10076775364299069,830,11,-0.8496902721244375,0.9107475715668056,-0.1120956435919816,0.5631186858950095,0.00898725380776999
main_only,IRA,single_mechanism,credit_market_expo_it,148.3119920269312,0.07593066019825152,1.7748015508159052,830,11,876.6016280848588,0.0523496996183005,1.9402468309102616,-728.2896360579276,0.023580960579951023
main_only,IRA,single_mechanism,demand_pull_expo_it,3.5988322096611762,0.1821575189109933,1.3341414035448667,830,11,14.298191939226768,0.1709293835021924,1.3692236243524496,-10.699359729565593,0.01122813540880091
main_only,IRA,joint_mechanism,subsidy_expo_it,1.7697027797256066,0.7653984896019442,0.29839921306993045,830,11,10.69894924981558,0.7565856922527885,0.3099674723072068,-8.929246470089973,0.008812797349155743
main_only,IRA,joint_mechanism,compliance_expo_it,-0.5346868262993906,0.795278620757314,-0.25946222962588694,830,11,-3.6734769286685154,0.5177856716773568,-0.6467624910883615,3.138790102369125,0.27749294907995725
main_only,IRA,joint_mechanism,credit_market_expo_it,143.63955141343652,0.0483385646905734,1.9743798746324432,830,11,789.3207133365052,0.0559511134716139,1.9114162233952516,-645.6811619230687,-0.0076125487810405
main_only,IRA,joint_mechanism,demand_pull_expo_it,3.322290719452341,0.14485524268193276,1.4579466721212082,830,11,14.577418050635748,0.1284841789259697,1.5201066285800071,-11.255127331183406,0.01637106375596306
main_only,LCFS,baseline,ExpoQuick_it,-0.5169961646605433,0.13635924719810963,-1.4894867222112698,822,11,-0.5169961646605433,0.1363592471981096,-1.4894867222112698,0.0,2.7755575615628914e-17
