sample_set,policy,specification,var,coef,pval,t,nobs,unique_tickers
main_only,IRA,baseline,ExpoQuick_it,2.5200952535314003,0.17369547002755614,1.3604250052464533,830,11
main_only,IRA,single_mechanism,subsidy_expo_it,-39.02041798037899,0.32173797528926884,-0.9908927041186765,830,11
main_only,IRA,single_mechanism,compliance_expo_it,-0.8496902721244375,0.9107475715668055,-0.11209564359198161,830,11
main_only,IRA,single_mechanism,credit_market_expo_it,876.6016280848588,0.052349699618300556,1.9402468309102618,830,11
main_only,IRA,single_mechanism,demand_pull_expo_it,14.298191939226768,0.17092938350219244,1.3692236243524496,830,11
main_only,IRA,joint_mechanism,subsidy_expo_it,10.69894924981558,0.7565856922527885,0.30996747230720684,830,11
main_only,IRA,joint_mechanism,compliance_expo_it,-3.6734769286685154,0.5177856716773568,-0.6467624910883615,830,11
main_only,IRA,joint_mechanism,credit_market_expo_it,789.3207133365052,0.055951113471613925,1.9114162233952514,830,11
main_only,IRA,joint_mechanism,demand_pull_expo_it,14.577418050635748,0.12848417892596972,1.5201066285800071,830,11
main_only,LCFS,baseline,ExpoQuick_it,-0.5169961646605433,0.13635924719810963,-1.4894867222112698,822,11
main_only,LCFS,single_mechanism,subsidy_expo_it,-55.23440786167305,0.7721917233278129,-0.2895092225898266,822,11
main_only,LCFS,single_mechanism,compliance_expo_it,0.1895035431113471,0.6100660483344043,0.5099791795602253,822,11
main_only,LCFS,single_mechanism,credit_market_expo_it,-6.8062593987701385,0.017771348861808155,-2.3703480129390258,822,11
main_only,LCFS,single_mechanism,demand_pull_expo_it,-7.939599050339803,0.12812480875485746,-1.521538295461164,822,11
main_only,LCFS,joint_mechanism,subsidy_expo_it,-645.8113128859716,8.781920099659719e-08,-5.350278043618131,822,11
main_only,LCFS,joint_mechanism,compliance_expo_it,1.5815290601588756,0.008194287109670505,2.6439578021386674,822,11
main_only,LCFS,joint_mechanism,credit_market_expo_it,-7.292187902282051,0.01629955338089337,-2.402138107475532,822,11
main_only,LCFS,joint_mechanism,demand_pull_expo_it,-20.40222873568669,2.941942664359279e-07,-5.127128795420114,822,11
main_only,RFS2,baseline,ExpoQuick_it,-0.057845755316341556,0.8669083090486505,-0.16758686018529942,815,11
main_only,RFS2,single_mechanism,subsidy_expo_it,183.7194213411365,0.5336355637638145,0.6224658935419796,815,11
main_only,RFS2,single_mechanism,compliance_expo_it,-3.937753523242563,0.0369352954298682,-2.0864785587924835,815,11
main_only,RFS2,single_mechanism,credit_market_expo_it,0.5558230809423162,0.6237659239358704,0.4905200804655733,815,11
main_only,RFS2,single_mechanism,demand_pull_expo_it,-4.068160847514393,0.7358032743135816,-0.3374160670853043,815,11
main_only,RFS2,joint_mechanism,subsidy_expo_it,-90.93027382843192,0.7802552123212745,-0.27898646446322944,815,11
main_only,RFS2,joint_mechanism,compliance_expo_it,0.5202368128385013,0.8831207121805348,0.1470143266253392,815,11
main_only,RFS2,joint_mechanism,credit_market_expo_it,5.043687448811539,0.19318541066957406,1.3012134267056366,815,11
main_only,RFS2,joint_mechanism,demand_pull_expo_it,-33.720300194022236,0.2337705225299188,-1.1907021781793945,815,11
main_plus_edge,IRA,baseline,ExpoQuick_it,-0.21923270706083692,0.0005671022563622946,-3.446879121838328,3038,35
main_plus_edge,IRA,single_mechanism,subsidy_expo_it,-15.455241885488809,0.3673078088718482,-0.9015277073684366,3038,35
main_plus_edge,IRA,single_mechanism,compliance_expo_it,-3.4028321422249754,0.05144972363545529,-1.9477095760662115,3038,35
main_plus_edge,IRA,single_mechanism,credit_market_expo_it,444.7973433976753,0.3847087998538078,0.869252934488529,3038,35
main_plus_edge,IRA,single_mechanism,demand_pull_expo_it,-1.7139471388325502,0.000323540896256823,-3.5956835595960888,3038,35
main_plus_edge,IRA,joint_mechanism,subsidy_expo_it,-16.816445831236134,0.377834034832634,-0.8818941797034404,3038,35
main_plus_edge,IRA,joint_mechanism,compliance_expo_it,0.5248232628194522,0.884460921872288,0.14531658361427818,3038,35
main_plus_edge,IRA,joint_mechanism,credit_market_expo_it,402.36845391927534,0.44473800999287494,0.764216878249746,3038,35
main_plus_edge,IRA,joint_mechanism,demand_pull_expo_it,-1.8592544063624838,0.16474653640622927,-1.3892835751668584,3038,35
main_plus_edge,LCFS,baseline,ExpoQuick_it,-0.1761214023760992,0.14412474974981362,-1.460601808318296,3006,35
main_plus_edge,LCFS,single_mechanism,subsidy_expo_it,7.5966530405634085,0.9536626449400694,0.05810794619718807,3006,35
main_plus_edge,LCFS,single_mechanism,compliance_expo_it,-0.3299405737906759,0.7463245520788145,-0.3234895081153956,3006,35
main_plus_edge,LCFS,single_mechanism,credit_market_expo_it,-0.2992045089736828,0.912785158905007,-0.1095261789056076,3006,35
main_plus_edge,LCFS,single_mechanism,demand_pull_expo_it,-3.011288896601153,0.14470014559372416,-1.4585095469327731,3006,35
main_plus_edge,LCFS,joint_mechanism,subsidy_expo_it,-23.896259397167697,0.8694637946966193,-0.16433961837788053,3006,35
main_plus_edge,LCFS,joint_mechanism,compliance_expo_it,0.20089524522475954,0.8444871661201963,0.19615714958289776,3006,35
main_plus_edge,LCFS,joint_mechanism,credit_market_expo_it,-0.1701681253875508,0.9498335467101852,-0.0629158081375699,3006,35
main_plus_edge,LCFS,joint_mechanism,demand_pull_expo_it,-3.1760188770098945,0.1183388498712276,-1.5617841375436536,3006,35
main_plus_edge,RFS2,baseline,ExpoQuick_it,-0.05195422025186032,0.9115586288716784,-0.11107278592293685,2975,35
main_plus_edge,RFS2,single_mechanism,subsidy_expo_it,1722.4106766021955,0.04760173215754116,1.9809067483956955,2975,35
main_plus_edge,RFS2,single_mechanism,compliance_expo_it,-18.659826828846388,0.13100167592828976,-1.510163632395379,2975,35
main_plus_edge,RFS2,single_mechanism,credit_market_expo_it,2.0729804745423186,0.37309988992130916,0.8906818213325431,2975,35
main_plus_edge,RFS2,single_mechanism,demand_pull_expo_it,-0.2158742098624421,0.9875092812356326,-0.015655433894297043,2975,35
main_plus_edge,RFS2,joint_mechanism,subsidy_expo_it,1487.5855249126178,0.13033145634073148,1.512796113552631,2975,35
main_plus_edge,RFS2,joint_mechanism,compliance_expo_it,-19.022317468410602,0.12632797258618475,-1.52874378748609,2975,35
main_plus_edge,RFS2,joint_mechanism,credit_market_expo_it,0.41828740773141254,0.8536315422565278,0.1844868500354953,2975,35
main_plus_edge,RFS2,joint_mechanism,demand_pull_expo_it,9.620283464064098,0.2148404436244895,1.2403649374083652,2975,35
